(8, 57)
(71, 64)
(29, 65)
(58, 65)
(5, 66)
(6, 66)
(61, 66)
(62, 66)
(63, 66)
(31, 68)
(49, 68)
(54, 68)
(72, 68)
(39, 69)
(43, 69)
(47, 69)
(57, 69)
(13, 70)
(19, 70)
(34, 70)
(64, 70)
(16, 71)
(21, 71)
(33, 71)
(80, 71)
(27, 72)
(40, 72)
(53, 72)
(65, 72)
(15, 73)
(18, 73)
(20, 73)
(32, 73)
(36, 73)
(70, 73)
(11, 74)
(23, 74)
(66, 74)
(1, 75)
(30, 75)
(52, 75)
(79, 75)
(4, 76)
(26, 76)
(38, 76)
(51, 76)
(77, 76)
(22, 77)
(25, 77)
(37, 77)
(75, 77)
(76, 77)
(2, 78)
(3, 78)
(7, 78)
(41, 78)
(44, 78)
(68, 78)
(74, 78)
(17, 79)
(59, 79)
(12, 80)
(28, 80)
(78, 80)
(9, 81)
(10, 81)
(14, 81)
(24, 81)
(42, 82)
(69, 82)
(56, 83)
(67, 83)
(50, 84)
(60, 84)
(46, 86)
(55, 86)
(35, 87)
(45, 89)
(48, 89)
(73, 91)
