(66, 52)
(72, 55)
(20, 58)
(61, 62)
(67, 62)
(75, 63)
(24, 65)
(77, 65)
(17, 66)
(38, 66)
(46, 66)
(6, 68)
(45, 68)
(65, 68)
(23, 69)
(53, 69)
(21, 70)
(34, 70)
(1, 71)
(36, 71)
(76, 71)
(26, 72)
(3, 73)
(7, 73)
(15, 73)
(18, 73)
(30, 73)
(35, 73)
(42, 73)
(44, 73)
(51, 73)
(56, 73)
(19, 74)
(32, 74)
(40, 74)
(48, 75)
(70, 75)
(71, 75)
(22, 76)
(39, 76)
(2, 77)
(16, 77)
(31, 77)
(41, 77)
(43, 77)
(55, 77)
(62, 77)
(63, 77)
(73, 77)
(11, 78)
(25, 78)
(37, 78)
(59, 78)
(60, 78)
(69, 78)
(74, 78)
(4, 79)
(5, 79)
(27, 79)
(28, 79)
(78, 79)
(13, 80)
(54, 80)
(64, 80)
(52, 81)
(57, 81)
(58, 81)
(68, 81)
(79, 81)
(29, 82)
(49, 82)
(50, 83)
(12, 84)
(80, 85)
(8, 86)
(10, 86)
(33, 87)
(47, 87)
(9, 88)
(14, 95)
