(3, 58)
(4, 59)
(39, 63)
(2, 64)
(20, 64)
(71, 64)
(19, 65)
(53, 65)
(61, 65)
(69, 66)
(13, 67)
(37, 67)
(73, 68)
(74, 68)
(80, 68)
(24, 69)
(79, 69)
(25, 70)
(48, 70)
(75, 70)
(14, 71)
(36, 71)
(40, 71)
(55, 71)
(68, 71)
(16, 72)
(57, 72)
(58, 72)
(67, 72)
(72, 72)
(23, 73)
(33, 73)
(1, 74)
(34, 74)
(49, 74)
(59, 74)
(60, 74)
(9, 75)
(12, 75)
(30, 75)
(31, 75)
(41, 75)
(76, 75)
(32, 76)
(45, 76)
(46, 76)
(66, 76)
(10, 77)
(78, 77)
(8, 78)
(42, 78)
(52, 78)
(6, 79)
(44, 79)
(50, 79)
(63, 79)
(70, 79)
(77, 79)
(17, 80)
(51, 80)
(56, 80)
(64, 80)
(65, 80)
(5, 81)
(18, 81)
(26, 81)
(28, 81)
(29, 82)
(38, 82)
(62, 82)
(7, 83)
(11, 83)
(22, 83)
(15, 84)
(21, 84)
(35, 84)
(43, 85)
(27, 89)
(47, 90)
(54, 99)
