(65, 59)
(26, 61)
(37, 61)
(47, 62)
(50, 62)
(17, 63)
(76, 63)
(57, 64)
(9, 65)
(49, 65)
(62, 65)
(40, 66)
(75, 68)
(79, 68)
(5, 69)
(7, 69)
(15, 69)
(78, 69)
(24, 70)
(77, 70)
(21, 71)
(28, 71)
(32, 71)
(43, 71)
(73, 71)
(80, 71)
(23, 72)
(36, 72)
(48, 72)
(54, 72)
(55, 72)
(61, 72)
(14, 73)
(35, 73)
(41, 73)
(16, 74)
(38, 74)
(30, 75)
(60, 75)
(63, 75)
(64, 75)
(72, 75)
(4, 76)
(6, 76)
(33, 76)
(20, 77)
(45, 77)
(46, 77)
(2, 78)
(3, 78)
(10, 78)
(19, 78)
(42, 78)
(67, 78)
(69, 78)
(11, 79)
(34, 79)
(18, 80)
(29, 80)
(58, 80)
(68, 80)
(70, 80)
(71, 80)
(27, 81)
(39, 82)
(53, 82)
(31, 83)
(66, 83)
(22, 84)
(25, 84)
(56, 84)
(1, 85)
(8, 85)
(74, 85)
(51, 86)
(12, 87)
(52, 88)
(13, 89)
(44, 89)
(59, 92)
