(33, 53)
(30, 58)
(72, 60)
(37, 64)
(55, 64)
(78, 64)
(9, 66)
(18, 66)
(20, 66)
(43, 66)
(50, 67)
(63, 67)
(24, 68)
(36, 68)
(67, 68)
(22, 69)
(31, 69)
(65, 69)
(11, 70)
(39, 70)
(2, 71)
(7, 71)
(73, 71)
(79, 71)
(15, 72)
(19, 72)
(21, 72)
(34, 72)
(47, 72)
(48, 72)
(53, 72)
(58, 72)
(66, 72)
(77, 72)
(5, 73)
(25, 73)
(28, 73)
(41, 73)
(44, 73)
(23, 74)
(51, 74)
(1, 75)
(14, 75)
(59, 75)
(16, 76)
(60, 76)
(69, 76)
(57, 77)
(75, 77)
(76, 77)
(32, 78)
(70, 78)
(4, 79)
(27, 79)
(38, 79)
(52, 79)
(35, 80)
(45, 80)
(46, 80)
(80, 80)
(6, 81)
(17, 81)
(42, 81)
(62, 81)
(10, 82)
(40, 82)
(56, 82)
(26, 83)
(8, 84)
(29, 84)
(54, 84)
(3, 85)
(49, 85)
(61, 85)
(68, 86)
(71, 87)
(12, 88)
(13, 90)
(74, 90)
(64, 94)
